,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_close_close_4h,q158_cntd_20h,q158_cntn_20h,q158_cntp_20h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_ma_60h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_max_60h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_min_60h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtld_30h,q158_qtlu_20h,q158_qtlu_30h,q158_rank_close_20h,q158_rank_close_30h,q158_resi_20h,q158_roc_20h,q158_rsqr_20h,q158_rsv_20h,q158_rsv_30h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_std_60h,q158_sumd_20h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha53,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,0.845181,,,,,,,,,,,,,,,,,-0.110449,,,,,,-0.098175,,,0.012413,,,-0.009592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13483,,,,,0.191631,,,,,-0.141245,,,,,,,,,0.070489,,0.142926,,-0.054566,,,,,-0.018629,,,0.168039,,,,,,,,,,,,,,,,,,,,,0.224318,,,,,,,0.141482,,,,,,-0.079148,,,,,,,0.046913,,0.191064,,0.158684,,,,,,,,,,,,,,0.019479,,
q158_low_close_0h,,,0.102414,0.020404,,,0.026471,-0.234805,-0.238554,,-0.635272,-0.267587,0.259167,-0.161187,-0.271966,-0.043726,,0.035086,0.077632,-0.606292,-0.55392,0.016004,,-0.016799,-0.038735,-0.153495,,-0.116413,,-0.204331,-0.075966,,-0.136136,,,-0.136457,-0.049494,-0.039722,0.234457,-0.12946,0.120177,-0.12762,-0.043443,-0.057885,0.223246,0.33675,0.235326,0.191729,0.164336,-0.567437,0.084837,0.025814,0.032121,-0.576293,-0.559768,-0.267391,-0.606292,-0.635298,-0.734072,-0.766524,-0.103125,0.259401,1.0,0.596,0.413709,0.326093,0.277276,0.260739,0.186659,,0.382288,,0.015381,-0.021188,,0.064518,,0.494248,0.39632,,0.627002,,0.606292,0.369898,0.283708,0.23463,0.204601,0.25471,,0.13787,,-0.261095,,-0.267875,0.116413,-0.042113,-0.238585,,-0.336371,-0.300736,,-0.376259,,-0.134165,0.134168,-0.134165,0.297558,0.152871,0.176527,0.205802,0.218842,0.223906,-0.245567,0.245567,-0.245567,-0.050441,-0.130508,-0.199325,-0.298952,,-0.567437,,-0.451941,-0.504347,-0.035446,-0.017333,0.153495,0.605186,,0.369342,0.283095,0.075966,0.204331,-0.203584,,-0.272812,-0.197015,-0.083592,-0.295514,-0.111319,-0.073577,,-0.108255,,-0.371398,,-0.128027,-0.145891,-0.040826,-0.298287,,-0.352634,-0.08028,-0.185673,0.278142,-0.550292,0.000615,0.440966,-0.292591,,-0.408453,-0.033111
q158_low_close_1h,,,0.072571,0.006519,,,0.014313,-0.44463,-0.420926,,-0.750139,0.061539,-0.136434,-0.200824,-0.111363,-0.079744,,0.01108,0.050863,-0.777623,-0.040515,-0.022617,,-0.007678,-0.091923,-0.315222,,-0.214793,,-0.4406,-0.111435,,-0.233603,,,-0.246612,-0.087526,-0.076779,0.501752,-0.21082,0.200835,-0.204318,-0.086073,-0.089956,0.343246,0.656158,0.618076,0.501658,0.435954,-0.198032,0.123221,-0.075362,0.102625,-0.208435,-0.04821,0.061466,-0.777623,-0.749998,-0.631407,-0.592402,-0.251563,-0.136196,0.596,1.0,0.758899,0.595718,0.505264,0.521905,0.36854,,0.728614,,0.278377,0.202062,,0.354367,,0.591724,0.47177,,0.726076,,0.777623,0.797475,0.60221,0.501853,0.440687,0.426291,,0.347486,,-0.478938,,-0.532287,0.214793,-0.026362,-0.420965,,-0.202056,-0.177234,,-0.223785,,-0.231883,0.231884,-0.23188,0.047902,-0.165598,-0.041153,0.003042,0.034381,0.016526,-0.076198,0.076198,-0.076198,-0.035376,-0.090093,-0.135543,-0.057292,,-0.198032,,-0.264177,-0.547885,-0.027205,-0.049731,0.315222,0.776996,,0.797031,0.601754,0.111435,0.4406,-0.369465,,-0.503154,-0.295008,-0.11409,-0.425707,-0.064924,-0.179263,,-0.186961,,-0.252859,,-0.085632,-0.124838,-0.088815,-0.04911,,-0.218001,-0.143679,-0.383802,0.482501,-0.681393,0.164849,0.371889,-0.179431,,-0.476381,-0.020868
q158_low_close_2h,,,0.072728,0.011891,,,0.008875,-0.568917,-0.523479,,-0.542162,0.06887,-0.113881,-0.239763,-0.037465,-0.135963,,0.009048,0.031515,-0.565323,-0.001856,-0.070901,,-0.009527,-0.174964,-0.426966,,-0.2919,,-0.610601,-0.141582,,-0.308919,,,-0.314122,-0.133384,-0.134977,0.701137,-0.2624,0.250606,-0.253282,-0.134227,-0.130303,0.241656,0.63004,0.771718,0.722571,0.619465,-0.13049,0.169609,-0.155984,0.174352,-0.137939,-0.007693,0.068732,-0.565323,-0.542046,-0.444832,-0.414501,-0.191964,-0.113703,0.413709,0.758899,1.0,0.823297,0.686392,0.677634,0.488261,,0.873113,,0.397113,0.310602,,0.471999,,0.645549,0.527491,,0.755382,,0.565323,0.864802,0.859079,0.701311,0.610813,0.545668,,0.473613,,-0.593938,,-0.65279,0.2919,-0.023798,-0.523511,,-0.149536,-0.133619,,-0.15065,,-0.307865,0.307867,-0.307862,-0.001632,-0.059374,-0.14681,-0.05521,-0.016177,-0.016492,-0.04006,0.04006,-0.04006,-0.02409,-0.076471,-0.111878,-0.016709,,-0.13049,,-0.186822,-0.521219,-0.020164,-0.089444,0.426966,0.565237,,0.864505,0.858723,0.141582,0.610601,-0.474967,,-0.630711,-0.203305,-0.137682,-0.278554,-0.048555,-0.294062,,-0.242421,,-0.206574,,-0.068344,-0.109336,-0.136259,-0.002507,,-0.171476,-0.188492,-0.507461,0.591615,-0.487829,0.204869,0.262355,-0.136563,,-0.347386,-0.017444
q158_low_close_3h,,,0.086489,0.01987,,,0.009946,-0.652532,-0.593649,,-0.435558,0.069315,-0.100689,-0.271939,0.008613,-0.197603,,0.007533,0.001524,-0.456358,0.010947,-0.108232,,-0.015701,-0.276217,-0.519967,,-0.357721,,-0.756324,-0.16625,,-0.373399,,,-0.365389,-0.177885,-0.201204,0.888474,-0.30662,0.292633,-0.295745,-0.180663,-0.168991,0.186552,0.506386,0.731153,0.821874,0.776517,-0.104564,0.215134,-0.224841,0.242715,-0.110528,0.006145,0.069199,-0.456358,-0.435459,-0.35177,-0.324575,-0.164642,-0.100471,0.326093,0.595718,0.823297,1.0,0.857599,0.777585,0.578181,,0.891597,,0.465714,0.380098,,0.523677,,0.677879,0.569018,,0.750461,,0.456358,0.691402,0.89689,0.888744,0.756524,0.635462,,0.562541,,-0.666846,,-0.701866,0.357721,-0.018285,-0.593677,,-0.118133,-0.108704,,-0.096433,,-0.372677,0.372677,-0.372674,-0.008857,-0.020505,-0.056957,-0.118473,-0.045987,-0.019351,-0.036322,0.036322,-0.036322,-0.017616,-0.073768,-0.092374,-0.016461,,-0.104564,,-0.134905,-0.484371,-0.018398,-0.121903,0.519967,0.456451,,0.691498,0.896726,0.16625,0.756324,-0.55189,,-0.710392,-0.16207,-0.155625,-0.200339,-0.040828,-0.398572,,-0.29349,,-0.18001,,-0.059352,-0.095464,-0.181047,0.002398,,-0.149396,-0.231509,-0.596111,0.662087,-0.391804,0.205232,0.207802,-0.114984,,-0.281732,-0.018247
q158_low_close_4h,,,0.089772,0.015754,,,0.01016,-0.716615,-0.648397,,-0.37752,0.074951,-0.094495,-0.298671,0.044681,-0.263413,,0.000701,-0.023566,-0.397145,0.021832,-0.138066,,-0.028988,-0.396296,-0.604504,,-0.418071,,-0.906242,-0.19265,,-0.43154,,,-0.41047,-0.219984,-0.272576,0.915953,-0.345587,0.329723,-0.333379,-0.224117,-0.207046,0.153767,0.433816,0.622161,0.783035,0.851218,-0.092332,0.25882,-0.285514,0.307524,-0.097475,0.017648,0.074848,-0.397145,-0.377428,-0.297118,-0.273211,-0.150948,-0.094305,0.277276,0.505264,0.686392,0.857599,1.0,0.846692,0.653379,,0.817577,,0.513523,0.433036,,0.53738,,0.699297,0.60273,,0.709869,,0.397145,0.589511,0.755332,0.916104,0.906486,0.706868,,0.63137,,-0.721386,,-0.711217,0.418071,-0.010524,-0.648417,,-0.095967,-0.089708,,-0.045668,,-0.431266,0.431265,-0.431265,-0.004663,-0.004367,-0.019288,-0.042268,-0.095654,-0.013921,-0.036716,0.036716,-0.036716,-0.011595,-0.070939,-0.069348,-0.022098,,-0.092332,,-0.083436,-0.438376,-0.016442,-0.15437,0.604504,0.397419,,0.589764,0.755394,0.19265,0.906242,-0.615715,,-0.766112,-0.145062,-0.166596,-0.155874,-0.036357,-0.487095,,-0.341251,,-0.15563,,-0.051849,-0.074512,-0.221681,0.000386,,-0.1354,-0.272301,-0.667635,0.714845,-0.339632,0.196687,0.168422,-0.10044,,-0.24301,-0.018893
q158_ma_10h,,,0.085967,0.009816,,,-0.002616,-0.869465,-0.798258,,-0.439536,0.079653,-0.094872,-0.364779,0.223004,-0.404181,,-0.038786,-0.083332,-0.459874,0.083087,-0.145282,,-0.062644,-0.603918,-0.818985,,-0.560308,,-0.893128,-0.251031,,-0.565351,,,-0.520045,-0.303103,-0.440202,0.839368,-0.438957,0.420545,-0.421269,-0.311671,-0.25574,0.254706,0.52388,0.680982,0.783291,0.853371,0.006839,0.349152,-0.394158,0.431314,0.000818,0.07836,0.079518,-0.459874,-0.439428,-0.351433,-0.32624,-0.099053,-0.094706,0.260739,0.521905,0.677634,0.777585,0.846692,1.0,0.839398,,0.817,,0.722259,0.643138,,0.609963,,0.69337,0.627129,,0.589819,,0.459874,0.640825,0.758967,0.839004,0.892839,0.833697,,0.828468,,-0.868784,,-0.720428,0.560308,0.029351,-0.798233,,0.052328,0.053277,,0.030856,,-0.566651,0.566648,-0.566652,0.030641,0.00443,0.006271,0.017421,0.024823,0.026465,-0.032607,0.032607,-0.032607,0.008161,-0.018246,-0.040293,-0.056361,,0.006839,,0.027011,-0.470732,-0.004509,-0.213183,0.818985,0.460625,,0.64135,0.759387,0.251031,0.893128,-0.770219,,-0.914432,-0.079127,-0.185744,-0.171994,0.012632,-0.633682,,-0.446362,,-0.009482,,0.005807,-0.022518,-0.306475,-0.027068,,0.006274,-0.364495,-0.854386,0.865055,-0.394946,0.199928,0.203916,0.018384,,-0.283678,-0.009242
q158_ma_20h,,,0.054344,-0.010289,,,0.001683,-0.940628,-0.910293,,-0.306852,0.068975,-0.076844,-0.497448,0.303759,-0.711301,,-0.079939,-0.161899,-0.321505,0.058266,-0.137065,,-0.216401,-0.898433,-0.898134,,-0.83743,,-0.705357,-0.377632,,-0.82435,,,-0.675395,-0.496615,-0.815871,0.635509,-0.606853,0.58275,-0.582195,-0.508914,-0.352972,0.159946,0.358906,0.484918,0.577081,0.653252,-0.012413,0.589034,-0.621376,0.708478,-0.016564,0.054881,0.068868,-0.321505,-0.306765,-0.236452,-0.219529,-0.089596,-0.076671,0.186659,0.36854,0.488261,0.578181,0.653379,0.839398,1.0,,0.595632,,0.612288,0.740148,,0.422565,,0.591799,0.706297,,0.423194,,0.321505,0.457372,0.556595,0.635193,0.705122,0.937539,,0.94627,,-0.9213,,-0.323457,0.83743,0.072212,-0.910203,,0.036252,0.080395,,0.005054,,-0.826399,0.826397,-0.8264,0.065224,0.008882,0.012735,0.022937,0.029624,0.053253,-0.058073,0.058073,-0.058073,0.011617,-0.055798,-0.091048,-0.091953,,-0.012413,,0.006191,-0.307412,-0.016205,-0.330986,0.898134,0.321838,,0.457616,0.556864,0.377632,0.705357,-0.926726,,-0.933936,-0.028121,-0.240608,-0.07679,0.010823,-0.675466,,-0.651614,,-0.023851,,-0.021156,-0.029939,-0.492568,-0.055796,,-0.002156,-0.546304,-0.97533,0.865841,-0.272404,0.161486,0.058581,0.01585,,-0.192874,-0.018137
q158_ma_30h,0.13483,,,,,0.040899,,,,,,,,,,,-0.106499,,,,,,-0.779727,,,,,,-0.69492,,,-0.280416,,,-0.886774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.737247,,,,,0.692282,,,,,,,,,0.931596,,0.938006,,-0.922283,,,,,-0.907363,,,0.106024,,,,,,,,,,,,,,,,,,,,,0.095125,,,,,,,0.909418,,,,,,-0.871239,,,,,,,0.086219,,-0.006724,,-0.042689,,,,,,,,,,,,,,-0.161695,,
q158_ma_5h,,,0.05183,0.007694,,,-0.004713,-0.678508,-0.622224,,-0.629879,0.086256,-0.109552,-0.262359,0.143064,-0.184505,,-0.013368,-0.032939,-0.656997,0.097648,-0.095337,,-0.009696,-0.25538,-0.52855,,-0.361442,,-0.764469,-0.162974,,-0.373167,,,-0.374397,-0.160255,-0.18873,0.885015,-0.311609,0.298332,-0.299097,-0.164681,-0.143802,0.386405,0.732319,0.875528,0.894557,0.819645,0.013935,0.189066,-0.215052,0.221347,0.005233,0.091064,0.086087,-0.656997,-0.629735,-0.519495,-0.486313,-0.11207,-0.109373,0.382288,0.728614,0.873113,0.891597,0.817577,0.817,0.595632,,1.0,,0.611208,0.496274,,0.696826,,0.604872,0.498315,,0.690531,,0.656997,0.860933,0.926468,0.884593,0.764428,0.627411,,0.611723,,-0.700794,,-0.762986,0.361442,0.005784,-0.622239,,0.029551,0.02565,,0.029461,,-0.373499,0.373498,-0.373498,-0.004164,-0.0041,-0.008179,-0.003503,0.00121,0.00084,-0.009896,0.009896,-0.009896,0.001655,-0.00761,-0.013721,-0.016796,,0.013935,,0.023352,-0.568365,-0.002276,-0.117002,0.52855,0.658213,,0.861648,0.926925,0.162974,0.764469,-0.567782,,-0.747151,-0.229289,-0.142583,-0.307511,0.008056,-0.375362,,-0.292364,,-0.016462,,0.002304,-0.023409,-0.168808,0.001473,,0.000156,-0.232593,-0.624134,0.698994,-0.570997,0.202073,0.303158,0.007551,,-0.416547,-0.003421
q158_ma_60h,,-0.020006,,,0.108504,,,,,-0.874654,,,,,,,,,,,,,,,,,-0.541065,,,,,,,-0.807976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.744279,,,,,0.690668,,,,,,,,,,,,,,,,,,,,,0.15422,,,,,,,,,,,,,,,,,-0.083677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.030934,,,,,,,,,,,
q158_max_10h,,,-0.068281,-0.047576,,,-0.057798,-0.638498,-0.642067,,-0.37651,0.026974,-0.003794,-0.33281,0.559787,-0.260238,,-0.092251,-0.184968,-0.389732,0.258221,-0.095858,,0.005003,-0.432541,-0.621838,,-0.38346,,-0.635247,-0.127219,,-0.383687,,,-0.368704,-0.14497,-0.301446,0.60601,-0.306099,0.303901,-0.280263,-0.159048,-0.06885,0.498598,0.591848,0.649508,0.689043,0.71453,0.387646,0.163203,-0.301394,0.269452,0.38235,0.254471,0.02652,-0.389732,-0.376443,-0.346698,-0.323942,0.190835,-0.004048,0.015381,0.278377,0.397113,0.465714,0.513523,0.722259,0.612288,,0.611208,,1.0,0.828699,,0.835198,,0.225405,0.205922,,0.174477,,0.389731,0.497443,0.5638,0.606005,0.635119,0.502203,,0.70247,,-0.639915,,-0.543817,0.38346,0.121968,-0.641812,,0.538754,0.492892,,0.397067,,-0.385596,0.385596,-0.385593,-0.019921,0.057586,0.060938,0.063651,0.061545,0.044151,0.10024,-0.10024,0.10024,0.110053,0.199215,0.120699,0.015235,,0.387646,,0.474363,-0.049194,0.069134,-0.117007,0.621838,0.389854,,0.497478,0.56374,0.127219,0.635247,-0.550781,,-0.676048,-0.07694,-0.078789,-0.152085,0.168167,-0.46935,,-0.2858,,0.40602,,0.209158,0.079228,-0.160289,0.036281,,0.463749,-0.241672,-0.650269,0.71674,-0.33401,0.138388,0.173532,0.415188,,-0.253001,0.027028
q158_max_20h,,,-0.067173,-0.059719,,,-0.060742,-0.714724,-0.78023,,-0.281594,0.034363,-0.013968,-0.455359,0.67376,-0.517882,,-0.168648,-0.241615,-0.296751,0.229916,-0.09802,,-0.12429,-0.660197,-0.652892,,-0.640377,,-0.548832,-0.234529,,-0.635662,,,-0.524404,-0.312673,-0.609712,0.509944,-0.472638,0.466396,-0.438074,-0.329941,-0.105062,0.38705,0.462282,0.522093,0.56962,0.606488,0.332268,0.502644,-0.440492,0.547378,0.32838,0.226965,0.03392,-0.296751,-0.281521,-0.251489,-0.233209,0.15413,-0.014211,-0.021188,0.202062,0.310602,0.380098,0.433036,0.643138,0.740148,,0.496274,,0.828699,1.0,,0.651027,,0.200193,0.259814,,0.11862,,0.296751,0.39339,0.46095,0.509668,0.548561,0.570453,,0.845474,,-0.707272,,-0.266,0.640377,0.190561,-0.779846,,0.419136,0.565043,,0.322677,,-0.639985,0.639987,-0.639982,0.100449,0.045788,0.056621,0.065918,0.070779,0.15808,0.019264,-0.019264,0.019264,0.142978,0.205619,-0.070749,-0.086395,,0.332268,,0.392743,-0.083346,0.084178,-0.229723,0.652892,0.297247,,0.393683,0.461074,0.234529,0.548832,-0.700571,,-0.718545,-0.041128,-0.131745,-0.081261,0.171363,-0.498394,,-0.486281,,0.33736,,0.216193,-0.038909,-0.323229,-0.060414,,0.486146,-0.415074,-0.770623,0.718993,-0.252549,0.121491,0.086876,0.448286,,-0.19516,0.020165
q158_max_30h,0.191631,,,,,0.063993,,,,,,,,,,,-0.129349,,,,,,-0.575863,,,,,,-0.50134,,,-0.241432,,,-0.74392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737247,,,,,1.0,,,,,0.236712,,,,,,,,,0.553163,,0.852473,,-0.709288,,,,,-0.773433,,,0.595509,,,,,,,,,,,,,,,,,,,,,0.597407,,,,,,,0.672745,,,,,,-0.631981,,,,,,,0.168197,,0.473175,,0.39271,,,,,,,,,,,,,,-0.170579,,
q158_max_5h,,,-0.064745,-0.024648,,,-0.055906,-0.487808,-0.479349,,-0.480755,-0.000883,0.021253,-0.254124,0.470927,-0.096587,,-0.055036,-0.124773,-0.487898,0.268983,-0.066396,,0.036367,-0.172001,-0.381146,,-0.228901,,-0.608299,-0.067313,,-0.229334,,,-0.249601,-0.048668,-0.101116,0.647399,-0.201772,0.201627,-0.182174,-0.059629,-0.02468,0.629984,0.721732,0.758511,0.764155,0.730285,0.44863,0.023005,-0.178368,0.106571,0.441792,0.264453,-0.001342,-0.487898,-0.480698,-0.454981,-0.435827,0.2423,0.021,0.064518,0.354367,0.471999,0.523677,0.53738,0.609963,0.422565,,0.696826,,0.835198,0.651027,,1.0,,0.177638,0.118719,,0.205652,,0.487898,0.590152,0.638707,0.64765,0.608313,0.376912,,0.502905,,-0.502406,,-0.580232,0.228901,0.051206,-0.479201,,0.487425,0.409253,,0.496222,,-0.230859,0.230862,-0.230857,-0.152755,0.0541,0.03176,0.002785,-0.043286,-0.079992,0.166309,-0.166309,0.166309,0.081459,0.172355,0.258243,0.139584,,0.44863,,0.572536,0.006365,0.054159,-0.052104,0.381146,0.487981,,0.590067,0.638429,0.067313,0.608299,-0.390231,,-0.53906,-0.182501,-0.04382,-0.230154,0.157244,-0.271488,,-0.16372,,0.464222,,0.177561,0.193422,-0.068111,0.15294,,0.432556,-0.139213,-0.460395,0.558684,-0.42442,0.135473,0.264537,0.375946,,-0.313567,0.028662
q158_max_60h,,-0.126483,,,-0.032359,,,,,-0.744665,,,,,,,,,,,,,,,,,-0.369748,,,,,,,-0.64382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744279,,,,,1.0,,,,,0.243542,,,,,,,,,,,,,,,,,,,,,0.623931,,,,,,,,,,,,,,,,,-0.115558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.076809,,,,,,,,,,,
q158_min_10h,,,0.146866,0.015664,,,0.05399,-0.654889,-0.648363,,-0.394214,0.021212,-0.057213,-0.296339,-0.270625,-0.251718,,0.029636,0.043268,-0.397241,-0.182245,-0.085515,,0.002933,-0.414837,-0.597657,,-0.377372,,-0.614474,-0.148539,,-0.414996,,,-0.381135,-0.177526,-0.294479,0.59225,-0.344414,0.316794,-0.345236,-0.175179,-0.14642,0.022254,0.286353,0.397088,0.459895,0.501924,-0.3685,0.298564,-0.220942,0.302729,-0.373972,-0.18652,0.021385,-0.397241,-0.394144,-0.343481,-0.322574,-0.265254,-0.056883,0.494248,0.591724,0.645549,0.677879,0.699297,0.69337,0.591799,,0.604872,,0.225405,0.200193,,0.177638,,1.0,0.837826,,0.839238,,0.397241,0.502208,0.55698,0.592339,0.614495,0.700267,,0.480345,,-0.667489,,-0.527913,0.377372,-0.065165,-0.648642,,-0.48243,-0.418597,,-0.3698,,-0.409767,0.409762,-0.409772,0.03798,-0.055799,-0.06326,-0.054826,-0.042821,-0.038028,-0.145157,0.145157,-0.145157,-0.121901,-0.254666,-0.174921,-0.081681,,-0.3685,,-0.450598,-0.258568,-0.100581,-0.108642,0.597657,0.397397,,0.502243,0.557046,0.148539,0.614474,-0.560693,,-0.684521,-0.087399,-0.168637,-0.163971,-0.140706,-0.478681,,-0.328589,,-0.441021,,-0.246723,-0.126674,-0.165516,-0.061807,,-0.469888,-0.252846,-0.596673,0.723009,-0.345066,0.135799,0.18371,-0.410707,,-0.229868,-0.046843
q158_min_20h,,,0.097819,-0.026651,,,0.066123,-0.738705,-0.782222,,-0.300248,0.037892,-0.072837,-0.393039,-0.229354,-0.469301,,0.0154,-0.033353,-0.306351,-0.153722,-0.09313,,-0.083979,-0.619903,-0.635587,,-0.603036,,-0.541763,-0.216971,,-0.636979,,,-0.507686,-0.319499,-0.56843,0.507002,-0.490114,0.454958,-0.487047,-0.320499,-0.174481,-0.033481,0.204082,0.311387,0.378937,0.428956,-0.341368,0.428069,-0.545152,0.568218,-0.345507,-0.157108,0.03812,-0.306351,-0.300157,-0.247246,-0.227258,-0.263378,-0.072439,0.39632,0.47177,0.527491,0.569018,0.60273,0.627129,0.706297,,0.498315,,0.205922,0.259814,,0.118719,,0.837826,1.0,,0.667847,,0.306351,0.40326,0.462636,0.507008,0.541703,0.823225,,0.552934,,-0.733602,,-0.290208,0.603036,-0.073423,-0.782569,,-0.377025,-0.45766,,-0.31336,,-0.629163,0.629157,-0.629168,-0.028288,-0.035441,-0.041184,-0.034925,-0.028767,-0.109898,-0.096102,0.096102,-0.096102,-0.155206,-0.309034,-0.051623,-0.038112,,-0.341368,,-0.387691,-0.098671,-0.136499,-0.209405,0.635587,0.306322,,0.403211,0.462634,0.216971,0.541763,-0.683542,,-0.718479,-0.054196,-0.22481,-0.100042,-0.145818,-0.51627,,-0.50127,,-0.383493,,-0.296335,0.000425,-0.305448,-0.012844,,-0.515999,-0.403782,-0.702533,0.729348,-0.262412,0.122237,0.095675,-0.455208,,-0.169129,-0.053161
q158_min_30h,-0.141245,,,,,0.036462,,,,,,,,,,,-0.042608,,,,,,-0.51669,,,,,,-0.464874,,,-0.229298,,,-0.734841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.692282,,,,,0.236712,,,,,1.0,,,,,,,,,0.821187,,0.519356,,-0.712464,,,,,-0.772565,,,-0.455033,,,,,,,,,,,,,,,,,,,,,-0.475408,,,,,,,0.625019,,,,,,-0.626292,,,,,,,-0.050708,,-0.506056,,-0.476951,,,,,,,,,,,,,,-0.10689,,
q158_min_5h,,,0.137787,0.034409,,,0.045798,-0.504341,-0.493736,,-0.505875,-0.011841,-0.033108,-0.227126,-0.281661,-0.110499,,0.035013,0.06592,-0.501039,-0.237862,-0.05905,,0.017111,-0.178413,-0.377978,,-0.244199,,-0.582334,-0.10623,,-0.276579,,,-0.275722,-0.095772,-0.11885,0.629183,-0.244109,0.223501,-0.245766,-0.091087,-0.099372,0.082291,0.369347,0.472475,0.514541,0.518655,-0.417685,0.190033,-0.06761,0.140308,-0.424738,-0.243096,-0.011657,-0.501039,-0.505832,-0.457518,-0.442599,-0.271214,-0.032723,0.627002,0.726076,0.755382,0.750461,0.709869,0.589819,0.423194,,0.690531,,0.174477,0.11862,,0.205652,,0.839238,0.667847,,1.0,,0.501039,0.598132,0.632149,0.629364,0.582601,0.517256,,0.363183,,-0.529687,,-0.551984,0.244199,-0.042236,-0.493952,,-0.443715,-0.364938,,-0.452568,,-0.27311,0.273107,-0.273113,0.137476,-0.062877,-0.049988,-0.013205,0.036113,0.064885,-0.189181,0.189181,-0.189181,-0.088652,-0.198836,-0.274468,-0.159404,,-0.417685,,-0.537305,-0.461017,-0.068849,-0.057421,0.377978,0.500763,,0.597837,0.631955,0.10623,0.582334,-0.41864,,-0.561681,-0.184025,-0.133554,-0.238982,-0.132746,-0.292879,,-0.218248,,-0.493511,,-0.196212,-0.245708,-0.087709,-0.14709,,-0.423964,-0.161711,-0.43463,0.567024,-0.442612,0.133586,0.273237,-0.363714,,-0.300656,-0.037906
q158_min_60h,,-0.005852,,,0.110865,,,,,-0.723127,,,,,,,,,,,,,,,,,-0.302124,,,,,,,-0.643269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690668,,,,,0.243542,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-0.423379,,,,,,,,,,,,,,,,,-0.021194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015435,,,,,,,,,,,
