factor_id,check,status,detail
mom_5h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_5h,rolling_stability,OK,stability=
mom_5h,decile_shape,OK,shape=NONLINEAR_MIXED
mom_5h,capacity_liquidity,OK,class=
mom_5h,pairwise_redundancy,OK,77 pairs
mom_5h,cluster,OK,cluster=1
mom_5h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
mom_5h,scorecard_not_stale,OK,"rankic=-0.032322, coverage=0.9996"
mom_5h,unified_profile,OK,score=42.3
mom_5h,ls_btc_corr,OK,ls_btc_corr=-0.0005
mom_5h,source_metadata,OK,All source metadata present
mom_72h,factor_values,OK,factor_values.parquet exists
mom_72h,factor_level_rankic,OK,4 horizon(s)
mom_72h,period_ic,OK,100 rows
mom_72h,period_ls,OK,100 rows
mom_72h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_72h,cumulative_ls,OK,100 rows
mom_72h,paper_payload,OK,Present in payload
mom_72h,regime_btc,OK,regime=VOL_DEPENDENT
mom_72h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_72h,rolling_stability,OK,stability=
mom_72h,decile_shape,OK,shape=NONLINEAR_MIXED
mom_72h,capacity_liquidity,OK,class=
mom_72h,pairwise_redundancy,OK,77 pairs
mom_72h,cluster,OK,cluster=14
mom_72h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
mom_72h,scorecard_not_stale,OK,"rankic=-0.030940, coverage=0.9942"
mom_72h,unified_profile,OK,score=40.0
mom_72h,ls_btc_corr,OK,ls_btc_corr=0.1091
mom_72h,source_metadata,OK,All source metadata present
mom_accel_20h,factor_values,OK,factor_values.parquet exists
mom_accel_20h,factor_level_rankic,OK,4 horizon(s)
mom_accel_20h,period_ic,OK,100 rows
mom_accel_20h,period_ls,OK,100 rows
mom_accel_20h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_accel_20h,cumulative_ls,OK,100 rows
mom_accel_20h,paper_payload,OK,Present in payload
mom_accel_20h,regime_btc,OK,regime=REGIME_ROBUST
mom_accel_20h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_accel_20h,rolling_stability,OK,stability=
mom_accel_20h,decile_shape,OK,shape=NONLINEAR_MIXED
mom_accel_20h,capacity_liquidity,OK,class=
mom_accel_20h,pairwise_redundancy,OK,77 pairs
mom_accel_20h,cluster,OK,cluster=16
